| All HIDL binderized services (registered with hwservicemanager)
VINTF    R Interface                                                                                              Thread Use Server Clients
DM,FC    Y vendor.nxp.hardware.nfc@2.0::INqNfc/default                                                            0/1        985    
DM,FC    Y vendor.qti.data.factory@2.0::IFactory/default                                                          0/1        1864   
DM,FC    Y vendor.qti.data.factory@2.1::IFactory/default                                                          0/1        1864   
DM,FC    Y vendor.qti.data.factory@2.2::IFactory/default                                                          0/1        1864   
DM,FC    Y vendor.qti.data.factory@2.3::IFactory/default                                                          0/1        1864   
DM,FC    Y vendor.qti.data.factory@2.4::IFactory/default                                                          0/1        1864   
DM,FC    Y vendor.qti.data.factory@2.5::IFactory/default                                                          0/1        1864   
DM,FC    Y vendor.qti.data.factory@2.6::IFactory/default                                                          0/1        1864   
DM,FC    Y vendor.qti.data.factory@2.7::IFactory/default                                                          0/1        1864   
DM,FC    Y vendor.qti.esepowermanager@1.0::IEsePowerManager/default                                               0/1        1257   
DM,FC    Y vendor.qti.esepowermanager@1.1::IEsePowerManager/default                                               0/1        1257   
DM,FC    Y vendor.qti.hardware.AGMIPC@1.0::IAGM/default                                                           0/6        2275   
DM,FC    Y vendor.qti.hardware.ListenSoundModel@1.0::IListenSoundModel/default                                    0/6        2275   
DM,FC    Y vendor.qti.hardware.bluetooth_audio@2.0::IBluetoothAudioProvidersFactory/default                       0/6        2275   
DM,FC    Y vendor.qti.hardware.bluetooth_audio@2.1::IBluetoothAudioProvidersFactory/default                       0/6        2275   
DM,FC    Y vendor.qti.hardware.bluetooth_sar@1.0::IBluetoothSar/default                                           0/1        1174   
DM,FC    Y vendor.qti.hardware.bluetooth_sar@1.1::IBluetoothSar/default                                           0/1        1174   
DM,FC    Y vendor.qti.hardware.btconfigstore@2.0::IBTConfigStore/default                                          0/1        1174   
DM,FC    Y vendor.qti.hardware.cacert@1.0::IService/default                                                       0/1        2774   
DM,FC    Y vendor.qti.hardware.capabilityconfigstore@1.0::ICapabilityConfigStore/default                          0/2        1261   
DM,FC    Y vendor.qti.hardware.data.latency@1.0::ILinkLatency/default                                             0/1        1864   
DM,FC    Y vendor.qti.hardware.display.allocator@4.0::IQtiAllocator/default                                       0/4        1274   
DM,FC    Y vendor.qti.hardware.display.composer@3.0::IQtiComposer/default                                         0/4        1281   
DM,FC    Y vendor.qti.hardware.display.composer@3.1::IQtiComposer/default                                         0/4        1281   
DM,FC    Y vendor.qti.hardware.dpmservice@1.0::IDpmService/DpmService                                             0/1        1829   
DM,FC    Y vendor.qti.hardware.dpmservice@1.1::IDpmService/DpmService                                             0/1        1829   
DM,FC    Y vendor.qti.hardware.dsp@1.0::IDspService/dspservice                                                    0/3        1286   
DM,FC    Y vendor.qti.hardware.fm@1.0::IFmHci/default                                                             0/1        1174   
DM,FC    Y vendor.qti.hardware.iop@2.0::IIop/default                                                              0/2        1289   
DM,FC    Y vendor.qti.hardware.limits@1.0::ILimits/default                                                        0/2        1294   
DM,FC    Y vendor.qti.hardware.limits@1.1::ILimits/default                                                        0/2        1294   
DM,FC    Y vendor.qti.hardware.limits@1.2::ILimits/default                                                        0/2        1294   
DM,FC    Y vendor.qti.hardware.mwqemadapter@1.0::IMwqemAdapter/MwqemAdapter                                       0/1        1864   
DM,FC    Y vendor.qti.hardware.pal@1.0::IPAL/default                                                              0/6        2275   
DM,FC    Y vendor.qti.hardware.perf@2.0::IPerf/default                                                            0/1        1296   
DM,FC    Y vendor.qti.hardware.perf@2.1::IPerf/default                                                            0/1        1296   
DM,FC    Y vendor.qti.hardware.perf@2.2::IPerf/default                                                            0/1        1296   
DM,FC    Y vendor.qti.hardware.perf@2.3::IPerf/default                                                            0/1        1296   
DM,FC    Y vendor.qti.hardware.power.powermodule@1.0::IPowerModule/default                                        0/1        1253   
DC,FM    Y vendor.qti.hardware.qccsyshal@1.0::IQccsyshal/qccsyshal                                                0/3        1172   
DC,FM    Y vendor.qti.hardware.qccsyshal@1.1::IQccsyshal/qccsyshal                                                0/3        1172   
DC,FM    Y vendor.qti.hardware.qccsyshal@1.2::IQccsyshal/qccsyshal                                                0/3        1172   
DM,FC    Y vendor.qti.hardware.qccvndhal@1.0::IQccvndhal/qccvndhal                                                0/1        1937   
DM,FC    Y vendor.qti.hardware.qconfig@1.0::IQConfig/default                                                      0/3        1255   
DM,FC    Y vendor.qti.hardware.qseecom@1.0::IQSEECom/default                                                      0/3        785    
DM,FC    Y vendor.qti.hardware.secureprocessor.device@1.0::ISecureProcessor/qti-tee                               0/1        1297   
DM,FC    Y vendor.qti.hardware.sensorscalibrate@1.0::ISensorsCalibrate/default                                    0/1        1300   
DM,FC    Y vendor.qti.hardware.servicetracker@1.0::IServicetracker/default                                        0/6        1301   
DM,FC    Y vendor.qti.hardware.servicetracker@1.1::IServicetracker/default                                        0/6        1301   
DM,FC    Y vendor.qti.hardware.servicetracker@1.2::IServicetracker/default                                        0/6        1301   
DM,FC    Y vendor.qti.hardware.soter@1.0::ISoter/default                                                          0/1        1302   
FM,FC    N vendor.qti.hardware.systemhelper@1.0::ISystemEvent/default                                             0/1        3529   
FM,FC    N vendor.qti.hardware.systemhelper@1.0::ISystemResource/default                                          0/1        3529   
